route_id service_id trip_id trip_headsign direction_id block_id shape_id
P90 7 21704120 "East to Suitland" 0 A004 P90:08
P90 7 9069120 "West to King St-Old Town" 1 A004 P90:52
P90 7 27772120 "East to Suitland" 0 A004 P90:08
P94 8 26447170 "West to National Harbor" 1 A004 P94:51
P94 8 9146170 "East to Suitland" 0 A004 P94:03
P94 8 26280170 "West to National Harbor" 1 A004 P94:51
P94 8 25047170 "East to Suitland" 0 A004 P94:03
P90 8 30787170 "West to King St-Old Town" 1 A004 P90:52
P90 8 21704170 "East to Suitland" 0 A004 P90:08
P90 8 9069170 "West to King St-Old Town" 1 A004 P90:52
P90 8 27772170 "East to Suitland" 0 A004 P90:08
P94 9 26447150 "West to National Harbor" 1 A004 P94:51
P94 9 9146150 "East to Suitland" 0 A004 P94:03
P94 9 26280150 "West to National Harbor" 1 A004 P94:51
P94 9 25047150 "East to Suitland" 0 A004 P94:03
P90 9 30787150 "West to King St-Old Town" 1 A004 P90:52
P90 9 21704150 "East to Suitland" 0 A004 P90:08
P90 9 9069150 "West to King St-Old Town" 1 A004 P90:52
P90 9 27772150 "East to Suitland" 0 A004 P90:08
D10 10 26401080 "West to Foggy Bottom" 1 A004 D10:53
D10 10 38780080 "East to Southern Av Station" 0 A004 D10:05
D10 10 37235080 "West to Foggy Bottom" 1 A004 D10:53
D10 10 20343080 "East to Southern Av Station" 0 A004 D10:05
D10 10 14966080 "West to Foggy Bottom" 1 A004 D10:53
D10 10 25679080 "East to Southern Av Station" 0 A004 D10:05
D10 10 14701080 "West to Foggy Bottom" 1 A004 D10:53
D10 10 7042080 "East to Southern Av Station" 0 A004 D10:05
P94 11 26447020 "West to National Harbor" 1 A004 P94:51
P94 11 9146020 "East to Suitland" 0 A004 P94:03
P94 11 26280020 "West to National Harbor" 1 A004 P94:51
P94 11 25047020 "East to Suitland" 0 A004 P94:03
P90 11 30787020 "West to King St-Old Town" 1 A004 P90:52
P90 11 21704020 "East to Suitland" 0 A004 P90:08
P90 11 9069020 "West to King St-Old Town" 1 A004 P90:52
P90 11 27772020 "East to Suitland" 0 A004 P90:08
P94 12 26447060 "West to National Harbor" 1 A004 P94:51
P94 12 9146060 "East to Suitland" 0 A004 P94:03
P94 12 26280060 "West to National Harbor" 1 A004 P94:51
P94 12 25047060 "East to Suitland" 0 A004 P94:03
P90 12 30787060 "West to King St-Old Town" 1 A004 P90:52
P90 12 21704060 "East to Suitland" 0 A004 P90:08
P90 12 9069060 "West to King St-Old Town" 1 A004 P90:52
P90 12 27772060 "East to Suitland" 0 A004 P90:08
D10 13 26401010 "West to Foggy Bottom" 1 A004 D10:53
D10 13 38780010 "East to Southern Av Station" 0 A004 D10:05
D10 13 37235010 "West to Foggy Bottom" 1 A004 D10:53
D10 13 20343010 "East to Southern Av Station" 0 A004 D10:05
D10 13 14966010 "West to Foggy Bottom" 1 A004 D10:53
D10 13 25679010 "East to Southern Av Station" 0 A004 D10:05
D10 13 14701010 "West to Foggy Bottom" 1 A004 D10:53
D10 13 7042010 "East to Southern Av Station" 0 A004 D10:05
D10 14 39334070 "West to Foggy Bottom" 1 A004 D10:53
D10 14 291070 "East to Southern Av Station" 0 A004 D10:05
P96 14 8168070 "South to Oxon Hill P+R" 1 A004 P96:05
P96 14 1765070 "North to Suitland" 0 A004 P96:04
P66 14 12217070 "East to Forestville" 0 A004 P66:04
P66 14 2381070 "West to Suitland" 1 A004 P66:52
P93 14 38712070 "West to Birchwood" 1 A004 P93:51
P93 14 39686070 "East to Suitland" 0 A004 P93:05
C35 1 8308130 "South to Naylor Rd" 1 A005 C35:52
D10 1 14237130 "West to Foggy Bottom" 1 A005 D10:53
D10 1 33223130 "East to Southern Av Station" 0 A005 D10:05
