stop_id stop_code stop_name stop_desc stop_lat stop_lon zone_id stop_url
898 5000452 "Lake Braddock Dr+Olley Ln" NA 38.80574 -77.269249 NA NA
905 4000031 "S Pickett St+#600" NA 38.805862 -77.130135 NA NA
906 5000454 "Guinea Rd+Burke Rd" NA 38.805901 -77.281624 NA NA
908 4000032 "S Pickett St+#600" NA 38.805931 -77.130234 NA NA
911 5000456 "Lake Braddock Dr+Olley Ln" NA 38.805981 -77.268379 NA NA
913 5000458 "Guinea Rd+Burke Rd" NA 38.806034 -77.280899 NA NA
914 5000459 "Burke Lake Rd+Signal Hill Dr" NA 38.806042 -77.257454 NA NA
915 5000460 "Burke Lake Rd+Signal Hill Dr" NA 38.806068 -77.257652 NA NA
919 5000461 "Parliament Dr+Kings Park Dr" NA 38.80619 -77.249413 NA NA
920 5000462 "Parliament Dr+Parkway Pl" NA 38.80624 -77.246475 NA NA
922 5000464 "Parliament Dr+Victoria Rd" NA 38.806259 -77.243958 NA NA
924 5000465 "Parliament Dr+Kings Park Dr" NA 38.806267 -77.24881 NA NA
925 5000466 "Parliament Dr+Parkway Pl" NA 38.80629 -77.24601 NA NA
926 5000467 "Parliament Dr+Victoria Rd" NA 38.806305 -77.243248 NA NA
928 5000468 "Parliament Dr+Southampton Dr" NA 38.806374 -77.239944 NA NA
934 5000471 "Guinea Rd+Burke Rd" NA 38.806553 -77.279984 NA NA
935 5000472 "Southampton Dr+Parliament Dr" NA 38.806583 -77.239464 NA NA
940 5000473 "Pommeroy Dr+Morley Ct" NA 38.806778 -77.284714 NA NA
951 5000480 "Burke Lake Rd+Rolling Rd" NA 38.807076 -77.25618 NA NA
953 5000481 "Zion Dr+Windsor Hills Dr" NA 38.807117 -77.299133 NA NA
954 4000043 "N Washington St+Queen St" NA 38.807152 -77.046448 NA NA
957 5000482 "Rolling Rd+Burke Lake Rd" NA 38.807289 -77.254585 NA NA
